,LocationID,Borough,Zone,service_zone
1,2,Queens,Jamaica Bay,Boro Zone
6,7,Queens,Astoria,Boro Zone
7,8,Queens,Astoria Park,Boro Zone
8,9,Queens,Auburndale,Boro Zone
9,10,Queens,Baisley Park,Boro Zone
14,15,Queens,Bay Terrace/Fort Totten,Boro Zone
15,16,Queens,Bayside,Boro Zone
18,19,Queens,Bellerose,Boro Zone
26,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
27,28,Queens,Briarwood/Jamaica Hills,Boro Zone
29,30,Queens,Broad Channel,Boro Zone
37,38,Queens,Cambria Heights,Boro Zone
52,53,Queens,College Point,Boro Zone
55,56,Queens,Corona,Boro Zone
56,57,Queens,Corona,Boro Zone
63,64,Queens,Douglaston,Boro Zone
69,70,Queens,East Elmhurst,Boro Zone
72,73,Queens,East Flushing,Boro Zone
81,82,Queens,Elmhurst,Boro Zone
82,83,Queens,Elmhurst/Maspeth,Boro Zone
85,86,Queens,Far Rockaway,Boro Zone
91,92,Queens,Flushing,Boro Zone
92,93,Queens,Flushing Meadows-Corona Park,Boro Zone
94,95,Queens,Forest Hills,Boro Zone
95,96,Queens,Forest Park/Highland Park,Boro Zone
97,98,Queens,Fresh Meadows,Boro Zone
100,101,Queens,Glen Oaks,Boro Zone
101,102,Queens,Glendale,Boro Zone
116,117,Queens,Hammels/Arverne,Boro Zone
120,121,Queens,Hillcrest/Pomonok,Boro Zone
121,122,Queens,Hollis,Boro Zone
123,124,Queens,Howard Beach,Boro Zone
128,129,Queens,Jackson Heights,Boro Zone
129,130,Queens,Jamaica,Boro Zone
130,131,Queens,Jamaica Estates,Boro Zone
131,132,Queens,JFK Airport,Airports
133,134,Queens,Kew Gardens,Boro Zone
134,135,Queens,Kew Gardens Hills,Boro Zone
137,138,Queens,LaGuardia Airport,Airports
138,139,Queens,Laurelton,Boro Zone
144,145,Queens,Long Island City/Hunters Point,Boro Zone
145,146,Queens,Long Island City/Queens Plaza,Boro Zone
156,157,Queens,Maspeth,Boro Zone
159,160,Queens,Middle Village,Boro Zone
170,171,Queens,Murray Hill-Queens,Boro Zone
172,173,Queens,North Corona,Boro Zone
174,175,Queens,Oakland Gardens,Boro Zone
178,179,Queens,Old Astoria,Boro Zone
179,180,Queens,Ozone Park,Boro Zone
190,191,Queens,Queens Village,Boro Zone
191,192,Queens,Queensboro Hill,Boro Zone
192,193,Queens,Queensbridge/Ravenswood,Boro Zone
195,196,Queens,Rego Park,Boro Zone
196,197,Queens,Richmond Hill,Boro Zone
197,198,Queens,Ridgewood,Boro Zone
200,201,Queens,Rockaway Park,Boro Zone
202,203,Queens,Rosedale,Boro Zone
204,205,Queens,Saint Albans,Boro Zone
206,207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone
214,215,Queens,South Jamaica,Boro Zone
215,216,Queens,South Ozone Park,Boro Zone
217,218,Queens,Springfield Gardens North,Boro Zone
218,219,Queens,Springfield Gardens South,Boro Zone
222,223,Queens,Steinway,Boro Zone
225,226,Queens,Sunnyside,Boro Zone
251,252,Queens,Whitestone,Boro Zone
252,253,Queens,Willets Point,Boro Zone
257,258,Queens,Woodhaven,Boro Zone
259,260,Queens,Woodside,Boro Zone
